X,Y,Z
159,101,920
167,105,943
183,109,916
163,101,936
152,101,920
152,97,928
152,105,939
163,113,932
163,101,924
152,97,916
159,93,920
171,101,936
179,93,912
171,109,920
167,101,916
163,105,936
171,105,916
156,109,912
163,93,924
159,97,924
171,89,920
163,101,928
159,109,912
175,97,932
167,93,932
163,97,939
175,97,939
159,113,928
171,101,932
163,105,928
171,97,916
175,101,928
171,89,924
167,97,924
167,101,928
163,97,928
171,113,939
167,101,932
171,89,932
167,101,936
171,105,916
167,97,924
171,93,924
179,101,928
167,105,943
171,101,928
167,89,943
183,81,932
171,101,932
179,93,936
163,105,939
163,105,932
163,89,932
171,97,947
179,85,928
163,105,924
167,109,912
156,113,932
163,101,932
175,101,924
152,93,924
171,97,928
167,105,943
163,97,932
156,93,936
163,93,932
171,93,939
159,101,920
159,105,904
167,97,928
163,101,924
159,109,912
163,109,939
163,109,928
171,105,939
167,105,920
167,101,936
156,105,932
167,97,928
179,89,932
179,105,928
167,89,936
175,97,936
163,101,924
167,93,924
156,117,936
159,105,924
175,81,920
195,105,924
152,105,947
175,101,947
167,105,928
167,105,928
163,101,932
167,101,924
167,101,920
167,101,904
175,93,928
167,97,912
167,105,924
163,105,939
163,105,920
163,97,920
179,85,939
163,109,947
171,97,943
159,101,932
167,105,928
163,93,920
171,89,912
159,105,936
144,105,936
167,101,920
183,70,932
163,105,928
163,101,900
167,89,924
156,101,928
171,97,928
167,93,920
167,105,928
167,93,908
171,101,936
175,97,928
163,97,920
167,101,916
167,97,920
179,93,908
167,97,928
156,105,920
163,97,947
171,101,924
167,93,936
163,105,928
163,101,936
167,101,939
